skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
1491(15),463718.02528630005,89461.4298464,51.55,4.5,14.3,-0.23076923100000002,16.8,1.86,2.72,0.711,34.4,20.1,,,,1.59,,Q,L.epI
1126(15),463058.37806230003,89423.4621152,22.63,11.0,13.1,-0.229007634,16.7,2.13,2.72,0.486,32.8,19.7,,,,1.83,,Q,L.epIII-H
1037(15),462844.2401947,89451.136212,33.01,1.3,18.5,-0.227027027,20.8,1.95,2.76,0.7140000000000001,43.5,25.0,,,,1.61,,Q,L.epIII-H
1021(15),462170.3966065,89652.163892,25.83,7.3,15.0,-0.226666667,17.9,2.1,2.72,0.528,36.3,21.3,,,,1.78,,Q,L.epIII-H
1500(15),463720.6725745001,89501.58586159999,56.55,3.5,12.8,-0.2265625,16.2,,,,31.9,19.1,,,,,,,edH
1021(15),462170.3966065,89652.163892,20.83,12.3,15.9,-0.22641509399999998,18.9,2.09,2.72,0.545,38.4,22.5,,,,1.76,,Q,L.epIII-H
1704(15),462813.8826235001,89413.2822448,34.35,3.0,11.5,-0.226086957,15.4,1.95,2.72,0.609,29.5,18.0,,,,1.69,,Q,L.epIII-H
1649(15),462367.50708640006,89566.7177592,39.07,1.0,18.2,-0.225274725,20.9,1.98,2.76,0.6829999999999999,43.2,25.0,,,,1.64,,Q,L.epIII-H
1616(15),460931.36073730007,89862.35158159999,42.18,0.6,20.0,-0.225,25.4,1.85,2.72,0.797,49.9,29.9,,,,1.48,,Q,edH
1413(15),463464.35808130004,89343.8728208,42.32,4.8,12.46,-0.224719101,16.98,1.94,2.7,0.627,32.24,19.78,,,,1.66,,Q,L.epIII-H
1805(15),460958.51231500006,89850.73159279999,39.87,3.6,15.2,-0.22368421100000002,,1.99,2.72,0.7440000000000001,,,,,,1.56,,,edH
1410(15),463352.5382776001,89352.35827679999,40.64,3.8,12.48,-0.223557692,15.9,1.71,2.7,0.8240000000000001,31.17,18.69,,,,1.48,,Q,L.epIII-H
1818(15),463141.0926946,89382.70114319999,37.31,0.8,20.6,-0.22330097100000001,17.4,1.95,2.75,0.657,42.6,22.0,,,,1.66,,Q,L.epIII-H
1889(15),462350.6896819,89553.42477039999,35.75,4.5,14.8,-0.22297297300000002,13.6,2.08,2.72,0.486,31.7,16.9,,,,1.83,,Q,L.epIII-H
1697(15),462468.4677589001,89490.49320239999,31.07,9.0,11.7,-0.222222222,17.0,2.01,2.75,0.599,31.3,19.6,,,,1.72,,Q,L.epIII-H
1408(15),463278.2567206,89358.1495336,41.89,0.6,15.64,-0.221227621,21.31,1.83,2.71,0.795,40.41,24.77,,,,1.51,,Q,L.epIII-H
1639(15),463261.8367843,89379.48764479998,6.02,2.3,18.6,-0.220430108,20.0,1.84,2.76,0.804,42.7,24.1,,,,1.53,,Q,L.epIII-H
1065(15),462408.64879480004,89543.7307392,37.91,4.5,14.1,-0.21985815600000003,14.0,,,,31.2,17.1,,,,,,,L.epIII-H
1490(15),463713.61938880006,89448.36170879999,49.85,4.5,12.3,-0.219512195,16.0,1.83,2.72,0.722,31.0,18.7,,,,1.58,,Q,L.epI
3028(15),462886.6380526001,89428.784932,32.2,3.0,14.6,-0.219178082,14.5,1.96,2.71,0.585,32.3,17.7,,,,1.71,,Q,L.epIII-H
1484(15),460679.92460380006,89916.98506959999,5.07,8.8,17.8,-0.21910112399999998,25.0,2.0,2.76,0.725,46.7,28.9,,,,1.6,,Q,mHn
1706(15),462813.5863972,89406.6772408,16.18,21.6,14.2,-0.218309859,19.3,2.07,2.72,0.563,36.6,22.4,,,,1.74,,Q,L.epIII-H
1248(15),460801.86484780005,89887.17622479999,31.57,2.8,41.7,-0.21822542,37.9,1.84,2.8,1.105,88.7,47.0,,,,1.33,,N,edH
1618(15),460950.8891749,89845.27225919999,38.14,0.5,25.8,-0.217054264,24.3,1.96,2.78,0.759,55.7,29.9,,,,1.58,,Q,edH
1793(15),462345.92381320003,89514.75437919999,38.31,4.4,14.8,-0.21621621600000002,18.9,2.0,2.72,0.619,36.9,22.1,,,,1.68,,Q,L.epII
1699(15),462810.4553977,89428.1799752,23.82,12.5,8.8,-0.21590909100000003,15.9,1.85,2.7,0.688,26.6,17.8,,,,1.6,,Q,L.epIII-H
1064(15),463082.00492200005,89384.0636344,34.04,3.8,15.3,-0.215686275,15.0,,,,33.6,18.3,,,,,,,L.epIII-H
1713(15),461983.1740855,89658.2121216,27.66,3.3,10.2,-0.215686275,16.5,1.93,2.72,0.639,28.9,18.7,,,,1.66,,Q,L.epIII-H
1377(15),462667.8355582001,89462.057556,32.14,3.8,15.8,-0.215189873,16.0,1.94,2.72,0.629,35.2,19.4,,,,1.67,,Q,L.epIII-H
1530(15),460702.99275820004,89906.28188479999,11.59,6.0,22.8,-0.214912281,25.6,1.82,2.73,0.883,53.3,30.5,,,,1.45,,Q,mHn
1063(15),463258.24457170005,89350.4068896,17.39,3.0,16.3,-0.214723926,13.2,2.0,2.72,0.537,33.0,16.7,,,,1.77,,Q,L.epIII-H
1811(15),460885.51315540005,89858.759316,37.8,4.0,21.2,-0.212264151,23.1,1.92,2.8,0.795,48.8,27.6,,,,1.56,,Q,edH
1697(15),462468.4677589001,89490.49320239999,39.47,0.6,15.6,-0.21153846199999998,20.1,1.95,2.72,0.679,39.0,23.4,,,,1.62,,Q,L.epIII-H
1709(15),462845.0838772,89433.76913359998,28.16,7.4,14.2,-0.21126760600000002,16.3,1.85,2.72,0.711,33.5,19.3,,,,1.59,,Q,L.epIII-H
1341(15),462161.49856840004,89618.74002879999,30.74,3.0,10.9,-0.211009174,15.2,1.85,2.7,0.677,28.4,17.5,,,,1.61,,Q,L.epIII-H
1605(15),460625.7001921,89935.46569679999,1.58,0.6,22.3,-0.210762332,21.0,,,,48.0,25.7,,,,,,,mHn
1702(15),462810.80411980004,89418.2544008,13.76,23.2,13.3,-0.21052631600000002,19.0,2.08,2.72,0.5539999999999999,35.1,21.8,,,,1.75,,Q,L.epIII-H
1792(15),462382.44589120004,89507.52032719999,39.6,2.8,11.4,-0.21052631600000002,15.8,1.95,2.7,0.607,29.6,18.2,,,,1.68,,Q,L.epII
1608(15),460653.86418880004,89926.6657168,8.01,4.1,18.1,-0.209944751,18.9,2.08,2.84,0.623,40.8,22.7,,,,1.75,,Q,mHn
1252(15),460791.77065540006,89881.85073119999,31.45,1.0,19.3,-0.20725388600000003,19.8,2.0,2.76,0.653,43.1,23.8,,,,1.67,,Q,edH
1103(15),463079.7963487,89389.44801759999,15.29,22.0,17.4,-0.20689655199999998,21.3,2.07,2.71,0.585,42.3,24.9,,,,1.71,,Q,L.epIII-H
1692(15),462703.6864399,89458.1320288,32.3,3.4,12.1,-0.20661157,16.4,1.86,2.72,0.7,31.0,18.9,,,,1.6,,Q,L.epIII-H
1170(15),462817.7935606,89471.43304799999,27.85,5.6,13.6,-0.20588235300000002,14.8,2.1,2.72,0.486,31.2,17.6,,,,1.83,,Q,L.epIII-H
1606(15),460631.3809876001,89937.216324,1.17,0.4,18.0,-0.20555555600000003,21.0,,,,42.7,24.7,,,,,,,mHn
1488(15),460853.1119977,89865.3522744,44.86,1.5,30.7,-0.205211726,34.8,1.76,2.8,1.137,71.8,41.1,,,,1.31,,N,edH
1699(15),462810.4553977,89428.1799752,15.52,20.8,12.2,-0.204918033,17.3,2.08,2.7,0.525,32.0,19.8,,,,1.77,,Q,L.epIII-H
1718(15),463708.85726980004,89446.6472184,53.49,0.6,15.2,-0.20394736800000002,20.0,1.83,2.72,0.778,38.3,23.1,,,,1.53,,Q,L.epI
1407(15),463237.23875230004,89356.7308296,39.63,1.8,11.81,-0.203217612,18.18,1.78,2.7,0.7879999999999999,32.39,20.58,,,,1.51,,Q,L.epIII-H
1837(15),462554.38838470005,89501.21512479999,35.41,1.0,14.8,-0.202702703,19.7,1.92,2.72,0.7,37.5,22.7,,,,1.6,,Q,L.epIII-H
1606(15),460631.3809876001,89937.216324,0.07,1.5,17.1,-0.19883040899999999,19.7,2.0,2.76,0.653,40.2,23.1,,,,1.67,,Q,mHn
1103(15),463079.7963487,89389.44801759999,20.09,17.2,13.6,-0.198529412,18.3,2.09,2.71,0.531,34.6,21.0,,,,1.77,,Q,L.epIII-H
1009(15),461162.9272105,89818.87231919999,34.64,12.8,22.2,-0.19819819800000002,28.0,1.92,2.76,0.84,54.6,32.4,,,,1.5,,Q,edH
1616(15),460931.36073730007,89862.35158159999,40.38,2.4,23.9,-0.19665272,25.3,1.9,2.84,0.868,53.9,30.0,,,,1.52,,N,edH
1179(15),462382.7946133,89507.41459359998,38.78,3.8,17.0,-0.194117647,16.0,2.02,2.72,0.563,36.3,19.3,,,,1.74,,Q,L.epII
1610(15),460645.7760859,89923.8871984,4.26,8.1,22.7,-0.193832599,27.9,1.91,2.85,0.9129999999999999,55.0,32.3,,,,1.49,,N,mHn
1167(15),462811.05534970004,89452.72489279999,24.44,10.3,12.9,-0.19379845,18.8,2.04,2.72,0.581,34.2,21.3,,,,1.72,,Q,L.epIII-H
1413(15),463464.35808130004,89343.8728208,43.32,3.8,13.08,-0.19266055,16.68,1.84,2.7,0.7090000000000001,32.28,19.2,,,,1.58,,Q,L.epIII-H
1823(15),463175.3012077,89376.25942399999,34.25,4.5,13.0,-0.192307692,14.0,,,,29.5,16.5,,,,,,,L.epIII-H
1022(15),461913.0284476001,89717.3024816,12.3,21.5,26.0,-0.192307692,30.2,1.95,2.84,0.893,61.2,35.2,,,,1.5,,N,L.epIII-H
1063(15),463258.24457170005,89350.4068896,13.39,7.0,19.3,-0.191709845,16.1,2.18,2.8,0.489,39.1,19.8,,,,1.88,,Q,L.epIII-H
1157(15),462433.6180471,89509.9468464,31.74,9.0,12.0,-0.19166666699999999,17.0,2.15,2.72,0.478,31.3,19.3,,,,1.84,,Q,L.epIII-H
1063(15),463258.24457170005,89350.4068896,15.39,5.0,15.7,-0.191082803,14.1,2.0,2.72,0.5539999999999999,32.8,17.1,,,,1.75,,Q,L.epIII-H
1179(15),462382.7946133,89507.41459359998,30.78,11.8,17.3,-0.190751445,17.2,2.1,2.8,0.564,37.8,20.5,,,,1.79,,Q,L.epII
1132(15),463719.0077077,89435.43276479999,41.69,11.5,19.5,-0.18974359,22.2,2.06,2.805,0.66,45.4,25.9,,,,1.69,,Q,L.epII
1156(15),462388.4191633,89514.37427359998,39.11,3.5,16.9,-0.18934911199999999,16.3,2.02,2.72,0.563,36.4,19.5,,,,1.74,,Q,L.epII
1701(15),462810.9878551001,89422.38871839999,33.9,2.8,11.7,-0.18803418800000002,15.3,1.87,2.72,0.679,29.2,17.5,,,,1.62,,Q,L.epIII-H
1815(15),461060.25667480007,89833.45686399999,42.52,3.8,17.2,-0.186046512,23.8,2.03,2.72,0.659,44.2,27.0,,,,1.64,,Q,edH
1620(15),460882.42340260005,89855.80145199999,38.1,2.7,17.8,-0.185393258,21.2,1.9,2.78,0.7709999999999999,42.3,24.5,,,,1.57,,Q,edH
1526(15),463679.69960260007,89380.85682799999,43.42,6.0,11.4,-0.184210526,16.1,2.01,2.7,0.561,29.6,18.2,,,,1.73,,Q,L.epIII-H
1610(15),460645.7760859,89923.8871984,9.26,3.1,16.4,-0.18292682899999999,19.5,2.0,2.87,0.7190000000000001,38.9,22.5,,,,1.67,,Q,mHn
1127(15),462592.2941020001,89457.95402159999,34.45,2.8,16.0,-0.18125,13.2,1.92,2.73,0.606,32.1,16.1,,,,1.7,,Q,L.epIII-H
1163(15),462811.82778790005,89443.64518719999,33.13,2.0,16.6,-0.180722892,15.5,,,,35.1,18.5,,,,,,,L.epIII-H
1710(15),462712.40824210003,89451.47616559999,22.55,13.6,12.8,-0.1796875,17.6,1.88,2.72,0.7,32.7,19.9,,,,1.6,,Q,L.epIII-H
1526(15),463679.69960260007,89380.85682799999,45.42,4.0,15.6,-0.179487179,16.1,1.94,2.72,0.629,34.5,18.9,,,,1.67,,Q,L.epIII-H
1579(15),462747.57667840004,89444.16180959999,24.34,11.8,11.4,-0.175438596,14.6,1.86,2.7,0.667,28.0,16.6,,,,1.62,,Q,L.epIII-H
1409(15),463312.5477271,89355.4861176,41.4,1.8,12.67,-0.17363851600000002,17.0,,,,31.87,19.2,,,,,,,L.epIII-H
1179(15),462382.7946133,89507.41459359998,32.78,9.8,19.6,-0.173469388,18.3,2.08,2.8,0.591,41.3,21.7,,,,1.76,,Q,L.epII
1365(15),462569.59341820003,89480.80452479998,32.55,4.3,11.6,-0.172413793,16.2,1.87,2.7,0.677,29.8,18.2,,,,1.61,,Q,L.epIII-H
1484(15),460679.92460380006,89916.98506959999,7.07,6.8,21.6,-0.17129629600000001,30.7,1.91,2.84,0.945,56.0,34.4,,,,1.46,,N,mHn
1131(15),462308.90302510007,89565.39140479999,35.72,2.5,14.6,-0.171232877,16.7,2.04,2.7,0.5429999999999999,33.8,19.2,,,,1.75,,Q,L.epIII-H
1201(15),462844.4351791,89419.3117368,33.24,3.6,13.14,-0.17047184199999998,16.74,2.1,2.71,0.506,32.12,18.98,,,,1.8,,Q,L.epIII-H
1131(15),462308.90302510007,89565.39140479999,29.72,8.5,19.4,-0.170103093,19.0,2.06,2.68,0.5489999999999999,41.7,22.3,,,,1.73,,Q,L.epIII-H
1699(15),462810.4553977,89428.1799752,26.32,10.0,10.0,-0.17,18.6,1.93,2.7,0.6559999999999999,30.3,20.3,,,,1.63,,Q,L.epIII-H
1423(15),463763.212921,89471.9791152,57.67,1.9,17.0,-0.17,19.11,1.91,2.72,0.7,39.0,22.0,,,,1.6,,Q,edH
1373(15),462639.0116143,89440.7395208,34.66,3.2,12.4,-0.16935483899999998,16.6,1.95,2.72,0.629,31.1,18.7,,,,1.67,,Q,L.epIII-H
1127(15),462592.2941020001,89457.95402159999,31.45,5.8,17.8,-0.16853932600000002,17.6,2.08,2.73,0.542,38.4,20.6,,,,1.77,,Q,L.epIII-H
1244(15),460749.3278011,89884.175532,24.5,2.6,29.1,-0.16838488,28.6,1.8,2.8,1.0,62.6,33.5,,,,1.4,,N,L.epIII-H
1009(15),461162.9272105,89818.87231919999,43.94,3.5,11.9,-0.16806722699999999,14.0,1.92,2.72,0.619,27.9,16.0,,,,1.68,,Q,edH
1712(15),462500.43395140005,89490.7100232,31.74,7.0,13.7,-0.167883212,17.2,1.87,2.72,0.7,33.2,19.5,,,,1.6,,Q,L.epIII-H
1167(15),462811.05534970004,89452.72489279999,22.44,12.3,14.5,-0.165517241,19.0,2.03,2.72,0.591,35.9,21.4,,,,1.71,,Q,L.epIII-H
1485(15),460676.6211181,89915.6667456,7.2,6.8,23.1,-0.164502165,27.4,1.79,2.84,1.014,54.3,31.2,,,,1.41,,N,mHn
1236(15),461229.3943927,89805.24740719999,36.45,7.8,21.3,-0.164319249,20.4,2.04,2.79,0.6509999999999999,45.2,23.9,,,,1.69,,Q,edH
1114(15),463071.9332278,89396.93101199999,28.51,8.0,14.0,-0.164285714,18.4,2.03,2.8,0.637,34.7,20.7,,,,1.71,,Q,L.epIII-H
1814(15),461025.47070790007,89839.4689568,40.08,5.0,11.6,-0.163793103,15.0,,,,28.5,16.9,,,,,,,edH
1711(15),462496.74049690005,89482.0572672,32.22,7.0,11.6,-0.163793103,16.9,1.95,2.7,0.617,30.4,18.8,,,,1.67,,Q,L.epIII-H
1160(15),462757.6858696,89465.67792799999,31.46,3.0,15.9,-0.163522013,15.1,2.0,2.72,0.563,33.6,17.7,,,,1.74,,Q,L.epIII-H
1102(15),463083.1973266,89392.31487039999,15.02,22.0,17.8,-0.162921348,21.3,2.05,2.7,0.598,42.0,24.2,,,,1.69,,Q,L.epIII-H
1245(15),460761.0418639001,89889.47559599999,28.67,0.2,29.0,-0.162068966,28.0,1.98,2.79,0.8,61.7,32.7,,,,1.55,,N,edH
1250(15),460780.8627781,89876.14379359999,30.51,2.2,37.7,-0.16180371400000002,33.6,1.93,2.8,0.9440000000000001,77.4,39.7,,,,1.44,,N,edH
1157(15),462433.6180471,89509.9468464,16.74,24.0,14.3,-0.160839161,14.3,2.16,2.72,0.439,30.9,16.6,,,,1.89,,Q,L.epIII-H
1161(15),462776.17939,89463.93533119999,27.82,6.5,14.3,-0.160839161,14.0,2.0,2.72,0.5539999999999999,30.6,16.3,,,,1.75,,Q,L.epIII-H
1808(15),460929.4446406,89859.23846319999,38.82,3.0,25.5,-0.160784314,24.3,1.92,2.8,0.818,53.9,28.4,,,,1.54,,N,edH
1793(15),462345.92381320003,89514.75437919999,39.91,2.8,12.5,-0.16,18.1,2.0,2.72,0.609,32.6,20.1,,,,1.69,,Q,L.epII
1165(15),462811.7940406,89455.99460399999,22.57,11.8,10.7,-0.158878505,16.2,2.05,2.72,0.545,28.6,17.9,,,,1.76,,Q,L.epIII-H
1065(15),462408.64879480004,89543.7307392,32.91,9.5,17.0,-0.158823529,16.3,1.95,2.73,0.625,36.0,19.0,,,,1.68,,Q,L.epIII-H
1470(15),461298.3138787,89794.24308239999,41.43,0.7,15.3,-0.156862745,16.0,,,,33.7,18.4,,,,,,,L.epI
2080(15),463038.5533984,89404.11420479999,32.71,2.9,16.0,-0.15625,14.3,1.78,2.72,0.7440000000000001,32.8,16.8,,,,1.56,,Q,L.epIII-H
1627(15),463900.81566190004,89630.1686264,60.69,0.7,27.5,-0.152727273,24.6,1.98,2.71,0.7040000000000001,56.3,28.8,,,,1.59,,Q,edH
1021(15),462170.3966065,89652.163892,23.63,9.5,13.8,-0.152173913,18.3,2.1,2.72,0.528,34.2,20.4,,,,1.78,,Q,L.epIII-H
1702(15),462810.80411980004,89418.2544008,27.96,9.0,11.2,-0.15178571400000002,16.6,1.81,2.75,0.787,29.5,18.3,,,,1.55,,Q,L.epIII-H
1281(15),462397.01347570005,89540.0782456,41.87,0.6,15.9,-0.150943396,16.5,,,,34.8,18.9,,,,,,,L.epIII-H
1117(15),463021.9459771,89395.980748,22.69,14.0,14.6,-0.150684932,20.0,2.03,2.73,0.615,36.8,22.2,,,,1.69,,Q,L.epIII-H
1136(15),463846.08504070004,89550.860396,65.58,1.7,21.4,-0.14953271,25.5,1.99,2.72,0.711,50.1,28.7,,,,1.59,,Q,edH
1711(15),462496.74049690005,89482.0572672,28.42,10.8,11.4,-0.149122807,16.3,1.84,2.72,0.722,29.4,18.0,,,,1.58,,Q,L.epIII-H
1525(15),463777.84800010006,89575.2099072,59.01,1.6,14.8,-0.148648649,15.6,1.81,2.73,0.7390000000000001,32.6,17.8,,,,1.57,,Q,edH
1703(15),462810.7328755,89434.38212079999,31.05,4.8,11.6,-0.146551724,15.6,1.9,2.72,0.659,28.9,17.3,,,,1.64,,Q,L.epIII-H
1712(15),462500.43395140005,89490.7100232,36.04,2.7,16.6,-0.144578313,19.3,1.91,2.72,0.7,38.3,21.7,,,,1.6,,Q,L.epIII-H
1800(15),462403.29422320006,89534.2548672,39.63,2.8,12.5,-0.14400000000000002,17.7,1.98,2.7,0.607,32.0,19.5,,,,1.68,,Q,L.epIII-H
1125(15),463051.6660993,89419.78017679999,19.51,14.7,13.9,-0.143884892,18.4,2.09,2.72,0.537,34.3,20.4,,,,1.77,,Q,L.epIII-H
1853(15),461601.2746399,89749.5953968,32.32,4.3,13.3,-0.14285714300000002,15.2,2.09,2.72,0.503,30.4,17.1,,,,1.81,,Q,L.epII
1064(15),463082.00492200005,89384.0636344,13.34,24.5,15.4,-0.14285714300000002,20.0,,,,37.6,22.2,,,,,,,L.epIII-H
1115(15),463058.1343318,89399.494048,7.27,28.8,21.9,-0.141552511,23.6,2.07,2.79,0.6709999999999999,48.6,26.7,,,,1.67,,Q,L.epIII-H
1805(15),460958.51231500006,89850.73159279999,27.67,15.8,21.9,-0.141552511,41.4,1.78,2.84,1.254,66.4,44.5,,,,1.26,,N,edH
1662(15),463205.56878609996,89367.3095432,39.3,0.8,21.2,-0.14150943400000002,19.1,2.03,2.75,0.618,43.3,22.1,,,,1.7,,Q,L.epIII-H
1701(15),462810.9878551001,89422.38871839999,28.9,7.8,12.1,-0.140495868,16.1,1.7,2.72,0.863,29.9,17.8,,,,1.46,,Q,L.epIII-H
1613(15),460666.7444083,89912.4532472,13.77,0.6,22.2,-0.13963964,21.8,2.0,2.74,0.6709999999999999,47.1,24.9,,,,1.64,,Q,mHn
1119(15),462983.687788,89401.5699064,28.39,8.0,16.5,-0.139393939,19.8,2.07,2.65,0.532,38.6,22.1,,,,1.73,,Q,L.epIII-H
1411(15),463389.27783820004,89349.6667544,41.62,3.8,11.45,-0.137991266,18.16,1.91,2.7,0.667,31.19,19.74,,,,1.62,,Q,L.epIII-H
2081(15),463052.26605130004,89414.00498079999,25.77,9.0,11.6,-0.137931034,16.3,2.07,2.72,0.528,29.5,17.9,,,,1.78,,Q,L.epIII-H
3039(15),463051.3586239001,89413.56330879999,30.81,4.0,16.1,-0.136645963,14.3,1.88,2.71,0.652,32.6,16.5,,,,1.64,,Q,L.epIII-H
384-02(15),461133.34582720004,89827.2172432,44.48,4.3,17.0,-0.13529411800000002,15.1,2.16,2.72,0.447,34.4,17.4,,,,1.88,,Q,edH
1687(15),462714.03561190004,89433.28597119999,34.6,2.8,11.1,-0.135135135,17.5,1.96,2.7,0.617,30.1,19.0,,,,1.67,,Q,L.epIII-H
1166(15),462812.19525850005,89458.37294079999,26.4,7.8,14.9,-0.134228188,17.0,2.0,2.72,0.591,33.9,19.0,,,,1.71,,Q,L.epIII-H
1250(15),460780.8627781,89876.14379359999,32.31,0.4,24.7,-0.133603239,25.4,2.03,2.8,0.753,53.4,28.7,,,,1.62,,Q,edH
1135(15),463845.7550671,89524.40959679999,68.41,1.8,16.5,-0.133333333,16.8,1.89,2.7,0.667,35.5,19.0,,,,1.62,,Q,edH
1289(15),462445.26461530005,89538.56451519999,41.01,0.5,17.5,-0.131428571,17.4,1.97,2.76,0.643,37.2,19.7,,,,1.68,,Q,L.epIII-H
1786(15),462429.9095938,89525.01053839999,39.19,2.2,12.2,-0.131147541,18.1,2.05,2.72,0.563,31.9,19.7,,,,1.74,,Q,L.epIII-H
1620(15),460882.42340260005,89855.80145199999,39.9,0.9,23.8,-0.130252101,24.3,1.94,2.78,0.782,51.2,27.4,,,,1.56,,Q,edH
1148(15),462449.4942769,89505.06436319998,31.24,9.0,15.5,-0.129032258,16.0,2.13,2.72,0.478,33.5,18.0,,,,1.84,,Q,L.epIII-H
1216(15),462929.93583850004,89371.287268,39.2,0.8,16.23,-0.128773876,20.87,2.06,2.71,0.594,39.19,22.96,,,,1.7,,Q,L.epII
1615(15),460896.8634973001,89868.21377359999,47.31,0.4,21.0,-0.12857142900000001,21.1,1.96,2.72,0.679,44.8,23.8,,,,1.62,,Q,edH
1061(15),462623.09413780004,89487.1164192,32.33,2.6,15.7,-0.127388535,16.1,,,,33.8,18.1,,,,,,,L.epIII-H
1853(15),461601.2746399,89749.5953968,35.12,1.5,12.6,-0.126984127,16.0,,,,30.2,17.6,,,,,,,L.epII
1121(15),463052.3260465,89416.05674799999,31.57,3.0,16.6,-0.126506024,16.1,1.92,2.72,0.648,34.8,18.2,,,,1.65,,Q,L.epIII-H
1064(15),463082.00492200005,89384.0636344,16.04,21.8,18.2,-0.126373626,21.9,2.09,2.8,0.637,42.4,24.2,,,,1.71,,Q,L.epIII-H
1705(15),462812.9077015,89409.98442719999,34.21,3.4,11.1,-0.126126126,15.5,1.83,2.7,0.7090000000000001,28.0,16.9,,,,1.58,,Q,L.epIII-H
1063(15),463258.24457170005,89350.4068896,11.39,9.0,19.2,-0.125,18.3,1.96,2.8,0.687,39.9,20.7,,,,1.66,,Q,L.epIII-H
1609(15),460649.0945704001,89925.5039856,3.36,8.8,26.4,-0.125,24.9,1.92,,0.9159999999999999,54.6,28.2,,,,1.54,,,mHn
1833(15),462590.4867466,89497.58538399999,34.5,0.9,16.9,-0.124260355,20.5,,,,39.5,22.6,,,,,,,L.epIII-H
1055(15),462663.15218290006,89485.65087119999,29.68,4.5,16.1,-0.12422360199999999,16.3,,,,34.4,18.3,,,,,,,L.epIII-H
1163(15),462811.82778790005,89443.64518719999,29.13,6.0,14.6,-0.123287671,15.2,,,,31.6,17.0,,,,,,,L.epIII-H
1614(15),460684.7429683,89919.18807599999,12.73,1.0,20.3,-0.123152709,19.0,2.03,2.74,0.602,41.8,21.5,,,,1.71,,Q,mHn
1705(15),462812.9077015,89409.98442719999,25.31,12.3,10.6,-0.12264150900000001,15.6,1.75,2.7,0.7879999999999999,27.5,16.9,,,,1.51,,Q,L.epIII-H
1856(15),461563.38392140006,89752.3484856,36.39,0.6,13.1,-0.122137405,15.6,2.08,2.72,0.511,30.3,17.2,,,,1.8,,Q,L.epII
1849(15),463724.8909870001,89429.701736,52.03,0.9,16.4,-0.12195122,16.6,1.87,2.75,0.7190000000000001,35.0,18.6,,,,1.6,,Q,L.epII
1165(15),462811.7940406,89455.99460399999,32.57,1.8,12.3,-0.12195122,18.9,2.02,2.72,0.6,32.7,20.4,,,,1.7,,Q,L.epIII-H
1608(15),460653.86418880004,89926.6657168,6.01,6.1,26.4,-0.12121212099999999,27.4,1.91,2.8,0.867,57.0,30.6,,,,1.5,,N,mHn
1702(15),462810.80411980004,89418.2544008,8.76,28.2,18.4,-0.11956521699999999,18.0,2.12,2.8,0.556,38.6,20.2,,,,1.8,,Q,L.epIII-H
1373(15),462639.0116143,89440.7395208,37.16,0.7,16.9,-0.118343195,18.9,1.98,2.72,0.629,37.8,20.9,,,,1.67,,Q,L.epIII-H
1063(15),463258.24457170005,89350.4068896,-1.41,21.8,18.6,-0.11827957,22.0,2.06,2.8,0.657,42.8,24.2,,,,1.69,,Q,L.epIII-H
1166(15),462812.19525850005,89458.37294079999,28.5,5.7,12.7,-0.118110236,17.8,2.0,2.72,0.6,32.0,19.3,,,,1.7,,Q,L.epIII-H
1103(15),463079.7963487,89389.44801759999,29.29,8.0,13.6,-0.117647059,18.5,2.03,2.73,0.596,33.7,20.1,,,,1.71,,Q,L.epIII-H
1048(15),462729.0944071,89477.00079199999,31.1,2.8,16.2,-0.117283951,15.3,,,,33.4,17.2,,,,,,,L.epIII-H
1681(15),462600.38970430003,89474.0201752,33.43,2.6,12.0,-0.11666666699999999,17.9,1.95,2.7,0.636,31.3,19.3,,,,1.65,,Q,L.epIII-H
1065(15),462408.64879480004,89543.7307392,27.91,14.5,13.8,-0.115942029,15.0,1.95,2.73,0.606,30.4,16.6,,,,1.7,,Q,L.epIII-H
1700(15),462811.1190946,89425.2890312,24.62,11.9,9.5,-0.115789474,17.0,1.84,2.7,0.72,27.6,18.1,,,,1.57,,Q,L.epIII-H
1065(15),462408.64879480004,89543.7307392,25.41,17.0,12.1,-0.115702479,17.5,1.97,2.73,0.625,31.0,18.9,,,,1.68,,Q,L.epIII-H
1835(15),462580.1113267001,89496.3058736,34.36,1.3,13.9,-0.115107914,19.0,1.95,2.72,0.659,34.5,20.6,,,,1.64,,Q,L.epIII-H
1324(15),461894.56492480007,89690.1396536,28.65,3.4,11.6,-0.11206896599999999,15.1,1.95,2.7,0.598,28.0,16.4,,,,1.69,,Q,L.epIII-H
1048(15),462729.0944071,89477.00079199999,29.1,4.8,16.1,-0.111801242,16.0,1.95,2.72,0.619,33.9,17.8,,,,1.68,,Q,L.epIII-H
1615(15),460896.8634973001,89868.21377359999,45.61,2.1,25.3,-0.110671937,31.9,1.87,2.79,0.965,60.0,34.7,,,,1.42,,N,edH
1700(15),462811.1190946,89425.2890312,22.12,14.4,12.7,-0.11023622,15.9,2.04,2.74,0.557,30.0,17.3,,,,1.76,,Q,L.epIII-H
1227(15),463608.97276120004,89354.21999119999,49.9,0.3,16.07,-0.10952084599999999,23.15,1.94,2.71,0.715,40.98,24.91,,,,1.58,,Q,L.epIII-H
